step;game1;game2;avg_loss;per_ab1;per_ab2;avg_l;min_l;max_l;max_weight;sum_total;memory;fr;epsilon;avglossma
5000;20004;81;1,54779;0,6;0,4;0,125;0,063;1;13,133;4524,5;29952;12,2;1;1,4764056
5100;20404;82;1,64282;0,6;0,4;0,151;0,063;1;21,886;4566,4;30336;12,8;1;1,4726508
5200;20804;83;1,66768;0,6;0,4;0,151;0,063;1;21,886;4663;30848;12;1;1,4678536
5300;21204;84;1,55963;0,6;0,4;0,151;0,063;1;21,886;4727;31232;11,6;1;1,4626432
5400;21604;85;1,54518;0,6;0,4;0,151;0,063;1;21,886;4772,1;31616;11,7;1;1,4591461
5500;22004;86;1,49933;0,6;0,4;0,151;0,063;1;21,886;4782,9;32000;12,2;1;1,4559283
5600;22404;87;1,44959;0,6;0,4;0,151;0,063;1;21,886;4818,3;32384;11,9;1;1,4526678
5700;22804;88;1,60769;0,6;0,4;0,151;0,063;1;21,886;4887,2;32768;13,2;1;1,44928
5800;23204;89;1,51552;0,6;0,4;0,151;0,063;1;21,886;4913,8;33152;13;1;1,4446031
5900;23604;90;1,55617;0,6;0,4;0,151;0,063;1;21,886;4954,7;33536;13,3;1;1,4395683
6000;24004;90;1,52942;0,6;0,4;0,151;0,063;1;21,886;5052,2;34048;12,6;1;1,4353517
6100;24404;91;1,47143;0,6;0,4;0,151;0,063;1;21,886;5096,2;34432;13,1;1;1,4305
6200;24804;92;1,49626;0,6;0,4;0,151;0,063;1;21,886;5141,5;34816;14,1;1;1,4265145
6300;25204;94;1,4716;0,6;0,4;0,151;0,063;1;21,886;5154,1;35200;12,6;1;1,4226901
6400;25604;95;1,50069;0,6;0,4;0,151;0,063;1;21,886;5201,5;35584;13;1;1,4191893
6500;26004;96;1,51469;0,6;0,4;0,151;0,063;1;21,886;5255,5;35968;12,4;1;1,4148733
6600;26404;97;1,44955;0,6;0,4;0,151;0,063;1;21,886;5297,1;36352;12,2;1;1,4098966
6700;26804;98;1,45104;0,6;0,4;0,151;0,063;1;21,886;5296,5;36736;12,1;1;1,4072115
6800;27204;99;1,41278;0,6;0,4;0,151;0,063;1;21,886;5360,2;37120;12,2;1;1,4031265
6900;27604;100;1,41482;0,6;0,4;0,151;0,063;1;21,886;5458,8;37632;11,9;1;1,4004514
7000;28004;101;1,60132;0,6;0,4;0,151;0,063;1;21,886;5492,6;38016;12;1;1,3970169
7100;28404;102;1,54396;0,6;0,4;0,151;0,063;1;21,886;5517,3;38400;12,3;1;1,3923243
7200;28804;104;1,4312;0,6;0,4;0,151;0,063;1;21,886;5585,6;38784;11,2;1;1,3871698
7300;29204;105;1,44966;0,6;0,4;0,151;0,063;1;21,886;5596,8;39168;12;1;1,3827283
7400;29604;106;1,44189;0,6;0,4;0,151;0,063;1;21,886;5611,8;39552;13;1;1,3783343
7500;30004;107;1,37145;0,6;0,4;0,151;0,063;1;21,886;5658,9;39936;11,3;1;1,3734112
7600;30404;108;1,39095;0,6;0,4;0,151;0,063;1;21,886;5703,1;40320;13,8;1;1,370729
7700;30804;109;1,3414;0,6;0,4;0,151;0,063;1;21,886;5751,7;40832;12;1;1,3665451
7800;31204;110;1,358;0,6;0,4;0,151;0,063;1;21,886;5831,4;41216;11,7;1;1,3630039
7900;31604;111;1,47771;0,6;0,4;0,151;0,063;1;21,886;5883,3;41600;12,2;1;1,3598591
8000;32004;112;1,41028;0,6;0,4;0,151;0,063;1;21,886;5944,9;41984;12,3;1;1,3554565
8100;32404;114;1,35562;0,6;0,4;0,151;0,063;1;21,886;5973,3;42368;12,2;1;1,3511635
8200;32804;115;1,37907;0,6;0,4;0,151;0,063;1;21,886;6006,5;42752;11,7;1;1,348581
8300;33204;116;1,43009;0,6;0,4;0,151;0,063;1;21,886;6058,2;43136;12,3;1;1,3441931
8400;33604;118;1,3666;0,6;0,4;0,151;0,063;1;21,886;6097,9;43520;11,9;1;1,3387913
8500;34004;119;1,31242;0,6;0,4;0,151;0,063;1;21,886;6147,6;43904;11,4;1;1,3340088
8600;34404;120;1,39133;0,6;0,4;0,151;0,063;1;21,886;6273,2;44416;11,9;1;1,3298224
8700;34804;121;1,28433;0,6;0,4;0,151;0,063;1;21,886;6283,7;44800;11,4;1;1,3251322
8800;35204;122;1,33024;0,6;0,4;0,151;0,063;1;21,886;6313,1;45184;12,2;1;1,3226177
8900;35604;123;1,31261;0,6;0,4;0,151;0,063;1;21,886;6351,6;45568;11,8;1;1,3198288
9000;36004;124;1,24412;0,6;0,4;0,151;0,063;1;21,886;6382,8;45952;12,6;1;1,3160521
9100;36404;125;1,23293;0,6;0,4;0,151;0,063;1;21,886;6438,2;46336;11,5;1;1,3127133
9200;36804;125;1,21846;0,6;0,4;0,151;0,063;1;21,886;6502,6;46720;12,4;1;1,3096073
9300;37204;126;1,28989;0,6;0,4;0,151;0,063;1;21,886;6549,9;47104;11,5;1;1,3071084
9400;37604;127;1,33461;0,6;0,4;0,151;0,063;1;21,886;6618,9;47616;11,9;1;1,3038817
9500;38004;129;1,26284;0,6;0,4;0,151;0,063;1;21,886;6672,3;48000;11,3;1;1,2995674
9600;38404;130;1,20006;0,6;0,4;0,151;0,063;1;21,886;6737,5;48384;11,9;1;1,2955035
9700;38804;131;1,14538;0,6;0,4;0,151;0,063;1;21,886;6797,4;48768;11,9;1;1,2926153
9800;39204;132;1,11286;0,6;0,4;0,151;0,063;1;21,886;6792,2;49152;11,8;1;1,2902706
9900;39604;133;1,10997;0,6;0,4;0,151;0,063;1;21,886;6832,2;49536;13,6;1;1,2888012
10000;40004;135;1,0157;0,6;0,4;0,151;0,063;1;21,886;6800;49920;12,9;1;1,2862742
10100;40404;136;1,76827;0,6;0,4;0,136;0,063;1;25,76;7186,4;50304;11,7;1;1,2855483
10200;40804;136;1,7134;0,6;0,4;0,136;0,063;1;25,76;7534;50688;13,3;1;1,2828445
10300;41204;137;1,66207;0,6;0,4;0,136;0,063;1;25,76;7870,6;51200;11,4;1;1,2817429
10400;41604;138;1,8625;0,6;0,4;0,136;0,063;1;25,76;8250,9;51584;12,2;1;1,2814328
10500;42004;138;1,82086;0,6;0,4;0,136;0,063;1;25,76;8513,3;51968;12,9;1;1,2785721
