game;len;score1;score2;score3;score4;fr;lenma
13090;751;1750;2028,7;930;3030;0;822,5
13100;809;2400;2022,1;930;3000;0;814,8
13110;745;2100;2027,2;930;3330;0;809,8
13120;931;3100;2028,9;930;3330;0;810,1
13130;1067;1820;2060,4;1520;3330;0;819,5
13140;753;1960;2072,4;1520;3330;0;818,6
13150;621;2110;2077,6;1520;3330;0;807,2
13160;851;1730;2082,3;1520;3330;0;811
13170;821;2230;2107,8;1520;3330;0;809
13180;785;2110;2104,4;1510;3330;0;811,6
13190;857;2300;2111,4;1510;3330;0;807,7
13200;923;1990;2184,6;1510;4050;0;823
13210;939;2100;2179,7;1510;4050;0;827
13220;775;2130;2160,2;1510;4050;0;829,2
13230;653;2150;2175,7;1510;4050;0;829,3
13240;1013;1830;2196,6;1510;4050;0;837,8
13250;833;1800;2173,8;1510;4050;0;834,4
13260;749;1750;2179,7;1510;4050;0;832,9
13270;1089;1960;2148,9;1510;4050;0;844,4
13280;913;1620;2149,4;1500;4050;0;843,9
13290;815;3610;2172,2;1500;4050;0;847,1
13300;1041;2230;2116,5;1500;3610;0;858,7
13310;753;2540;2131,5;1500;3610;0;859,1
13320;841;1740;2133,5;1500;3610;0;854,6
13330;975;2330;2138,1;1500;4740;0;850
13340;801;2310;2124,8;1500;4740;0;852,4
13350;835;1870;2138,5;1500;4740;0;863,1
13360;775;2070;2129,1;1500;4740;0;859,3
13370;995;2240;2122,5;1500;4740;0;868
13380;819;3220;2137,6;1500;4740;0;869,7
13390;939;2190;2106,7;1500;4740;0;873,8
13400;703;2970;2102,2;1500;4740;0;862,8
13410;881;1900;2083,4;1500;4740;0;859,9
13420;763;2390;2100,1;1590;4740;0;859,3
13430;1095;2430;2093,2;1510;3440;0;881,4
13440;823;2040;2108,4;1510;3440;0;871,9
13450;871;2060;2126,6;1510;3440;0;873,8
13460;923;2340;2145,6;1510;3440;0;882,5
13470;1111;3100;2176,2;1510;3440;0;883,6
13480;963;2440;2164,4;1510;3440;0;886,1
13490;905;1980;2175,6;1510;3440;0;890,6
13500;791;1790;2156,4;1510;3440;0;878,1
13510;651;1880;2154,1;1510;3440;0;873
13520;771;1780;2122,4;1510;3380;0;869,5
13530;743;2140;2091,7;1510;3380;0;857,9
13540;739;2050;2076,2;1510;3380;0;854,8
13550;747;1750;2081;1510;3380;0;850,4
13560;1009;2050;2112,6;1450;4640;0;862,1
13570;979;1980;2084,6;1450;4640;0;861,3
13580;869;2200;2091,2;1450;4640;0;863,8
13590;749;1750;2089,4;1370;4640;0;854,3
13600;1023;1960;2125;1370;4640;0;870,3
13610;923;1810;2124,7;1370;4640;0;872,4
13620;625;1950;2103;1370;4640;0;865,5
13630;853;2310;2119,7;1370;4640;0;853,4
13640;641;1880;2111,2;1370;4640;0;844,3
13650;625;1850;2115,4;1370;4640;0;832
13660;765;1650;2062,2;1370;3660;0;824,1
13670;1119;2470;2098;1370;3820;0;824,5
13680;617;1610;2076,2;1370;3820;0;807,2
13690;1025;2330;2086;1420;3820;0;813,2
13700;879;2490;2078,4;1420;3820;0;817,6
13710;781;1730;2080,6;1420;3820;0;824,1
13720;789;2390;2141,9;1530;3820;0;825
13730;1067;1580;2139,3;1530;3820;0;841,2
13740;725;1770;2146,4;1530;3820;0;840,5
13750;837;1820;2137,7;1510;3820;0;845
13760;1395;2080;2172,8;1510;3820;0;864,3
13770;889;3450;2169,3;1410;3590;0;859,8
13780;791;2420;2200,5;1410;3600;0;855,9
13790;707;1630;2198,4;1410;3600;0;853,8
13800;869;2380;2182,7;1410;3600;0;846,1
13810;813;1840;2190,8;1410;3600;0;840,6
13820;811;1720;2168,1;1410;4050;0;849,9
13830;751;1830;2155,5;1410;4050;0;844,8
13840;689;1740;2157,3;1410;4050;0;847,2
13850;747;1530;2160,9;1410;4050;0;853,3
13860;1077;1960;2156,9;1410;4050;0;868,9
13870;595;2180;2119,7;1490;4050;0;842,7
13880;933;2240;2099,5;1470;4050;0;858,5
13890;785;1730;2064,4;1470;4050;0;846,5
13900;787;1600;2074,4;1470;4050;0;841,9
13910;811;1840;2092,4;1470;4050;0;843,4
13920;823;1780;2107,8;1430;3650;0;845,1
13930;887;1950;2100,9;1430;3650;0;836,1
13940;1009;1920;2082,9;1310;3650;0;850,3
13950;825;1580;2070,7;1310;3650;0;849,7
13960;731;2180;2046,3;1310;3650;0;816,5
13970;849;2480;2069,5;1310;3650;0;814,5
13980;671;1790;2066,4;1310;3650;0;808,5
13990;1047;1750;2068,6;1310;3650;0;825,5
14000;581;1520;2055,1;1310;3650;0;811,1
14010;697;1500;2006,4;1310;3280;0;805,3
14020;873;1630;1970,6;1310;3280;0;808,4
14030;675;1860;1982,8;1310;3280;0;804,6
14040;805;1760;1992,7;1400;3280;0;810,4
14050;811;1600;2001,4;1400;3670;0;813,6
14060;661;1820;1992,3;1400;3670;0;792,8
14070;1001;1720;1984,4;1400;3980;0;813,1
14080;1083;1800;1972;1400;3980;0;820,6
14090;893;1870;1983,2;1400;3980;0;826
14100;721;1890;1970,3;1220;3980;0;822,7
14110;611;1770;2014,1;1220;3980;0;812,7
14120;793;1960;2018,7;1220;3980;0;811,2
14130;581;2000;2012,8;1220;3980;0;795,9
14140;725;2260;2021,6;1220;3980;0;781,7
14150;619;2820;2043,9;1220;4840;0;771,4
14160;1189;2290;2055,5;1220;4840;0;794,3
14170;531;1820;2050,7;1220;4840;0;778,4
14180;485;1110;2071,8;1110;4840;0;769,1
14190;721;1920;2098,3;1110;4840;0;752,8
14200;787;2260;2146,3;1110;4840;0;763,1
14210;799;2120;2127,7;1110;4840;0;768,2
14220;921;1820;2157,1;1110;4840;0;770,6
14230;577;2270;2162,4;1110;4840;0;765,7
14240;797;2370;2174,9;1110;4840;0;765,3
14250;815;2420;2154,4;1110;3450;0;765,5
14260;981;1620;2144,1;1110;3450;0;781,5
14270;709;2280;2186,9;1110;4600;0;766,9
14280;639;2050;2195,3;1130;4600;0;744,7
14290;871;3190;2196,2;1130;4600;0;743,6
14300;1027;2130;2187,2;1130;4600;0;758,9
14310;829;1540;2180,2;1130;4600;0;769,8
14320;631;1740;2168,1;1130;4600;0;761,7
14330;811;2310;2201,4;1130;4600;0;773,2
14340;953;2060;2197,7;1130;4600;0;784,6
14350;1127;2310;2198,1;1130;4600;0;810
14360;923;2210;2212,4;1510;4600;0;796,7
14370;661;1810;2187,4;1510;4440;0;803,2
14380;985;1820;2167,6;1470;4440;0;828,2
14390;753;1820;2142,3;1470;4440;0;829,8
14400;795;2730;2121,8;1300;4440;0;830,2
14410;787;2170;2146,9;1300;4440;0;829,6
14420;637;1330;2145,8;1300;4440;0;815,4
14430;735;1790;2155,1;1300;4380;0;823,3
14440;983;1920;2154,9;1300;4380;0;832,6
14450;997;1970;2144,8;1300;4380;0;841,7
14460;1111;1920;2159,1;1300;4380;0;848,2
14470;749;2450;2179,5;1300;3630;0;850,2
14480;631;1430;2196,2;1300;3630;0;849,8
14490;817;1810;2225,9;1300;3630;0;847,1
14500;685;1650;2235,5;1330;3630;0;830
14510;795;2380;2260,2;1330;3630;0;828,3
14520;709;2160;2267,7;1430;3630;0;832,2
14530;993;1830;2220,1;1430;3630;0;841,3
14540;825;2070;2237,3;1430;3740;0;834,9
14550;799;1940;2238,1;1030;3740;0;818,5
14560;911;3010;2247;1030;3740;0;817,9
14570;1175;1960;2239;1030;3740;0;843,6
14580;653;2270;2222;1030;3740;0;827
14590;843;2610;2184,4;380;3740;0;831,5
14600;867;2000;2191,4;380;3740;0;835,1
14610;1057;1850;2142,2;380;3740;0;848,6
14620;689;2390;2156;380;3740;0;851,2
14630;641;1980;2157,9;380;3740;0;846,5
14640;703;1970;2168;380;3400;0;832,5
14650;639;1990;2171,1;380;3400;0;814,6
14660;925;2160;2141,1;380;3400;0;805,3
14670;709;1880;2137,7;380;3400;0;803,3
14680;1017;1940;2139,5;380;3400;0;822,6
14690;809;2030;2168,5;890;3460;0;822,2
14700;729;2330;2142,9;890;3460;0;824,4
14710;683;2110;2161,6;1100;3460;0;818,8
14720;843;2090;2156,6;1100;3460;0;825,5
14730;1101;2390;2203,4;1100;3460;0;830,9
14740;1017;3890;2203,3;1100;3890;0;840,5
14750;917;2000;2225,8;1100;3890;0;846,4
14760;839;1880;2234,4;1100;3890;0;842,8
14770;927;2200;2221,9;1100;3890;0;830,4
14780;701;1810;2223,9;1100;3890;0;832,8
14790;845;2780;2222,1;1100;3890;0;832,9
14800;759;1900;2274,1;1150;4600;0;827,5
14810;775;2180;2307,9;1150;4600;0;813,4
14820;751;2110;2290,7;1150;4600;0;816,5
14830;1103;2800;2258,7;1140;4600;0;839,6
14840;773;2020;2222,5;1140;4600;0;843,1
14850;915;1910;2195,2;1140;4600;0;856,9
14860;1015;2220;2202,3;1140;4600;0;861,4
